,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LONRF2,240.5435761,-1.899840262,0.227872753,-3.948871692,7.85E-05,0.002182941
PTCHD1,451.3584418,-1.901504837,0.25430906,-3.544918281,0.000392735,0.009531403
IGHVII-78-1,1.844234444,-1.904193667,0.292831561,-3.087760291,0.002016711,0.041625816
SRMS,226.0476676,-1.90471606,0.147548631,-6.131646604,8.70E-10,5.38E-08
HTR3E,4.579673931,-1.904732426,0.244617395,-3.698561273,0.000216825,0.005502655
PPP1R3C,1480.672298,-1.905181415,0.175851082,-5.147431605,2.64E-07,1.13E-05
DEGS2,1121.856539,-1.90559563,0.181904893,-4.978401712,6.41E-07,2.59E-05
LINC01505,18.22104687,-1.906208738,0.253737553,-3.57144115,0.000355022,0.008704608
PDE10A,1022.497458,-1.907694659,0.168591875,-5.383976303,7.29E-08,3.40E-06
MS4A15,32.58854515,-1.910318601,0.295478966,-3.080823696,0.002064288,0.042461043
C2orf66,23.15051669,-1.91624786,0.178173988,-5.142433349,2.71E-07,1.16E-05
PKIA-AS1,18.19112738,-1.918557388,0.166223795,-5.526028257,3.28E-08,1.60E-06
C10orf99,2917.239996,-1.924249368,0.258598812,-3.574066559,0.00035148,0.008635476
DISC1FP1,6.650660265,-1.926249053,0.260473724,-3.55601724,0.000376519,0.009175163
DCTN1-AS1,11.83141534,-1.927055536,0.19630133,-4.722614651,2.33E-06,8.59E-05
LINC01136,22.25121749,-1.927982281,0.158345666,-5.860484262,4.62E-09,2.53E-07
MTDHP4,4.432583853,-1.928703943,0.301598002,-3.079277506,0.002075033,0.042608652
PCP2,71.40499353,-1.929711749,0.152781745,-6.085227966,1.16E-09,7.05E-08
IYD,92.42633867,-1.93032155,0.240247565,-3.872345392,0.000107793,0.002902149
CAPN9,183.9682291,-1.933528968,0.243246484,-3.837790186,0.000124146,0.003279582
HOXB-AS3,99.7077795,-1.934115933,0.199784698,-4.675612998,2.93E-06,0.000106854
TBX2,5965.857488,-1.935965615,0.159341879,-5.873946125,4.26E-09,2.37E-07
CECR2,402.5929,-1.939273811,0.211618317,-4.438527927,9.06E-06,0.000298764
RIMS4,37.59989783,-1.939652987,0.274879447,-3.418418497,0.000629862,0.014689189
SEMA5A-AS1,4.045194565,-1.940336588,0.230139334,-4.085944677,4.39E-05,0.001267623
SGK2,518.1316785,-1.943451367,0.219128946,-4.305462079,1.67E-05,0.000518836
GPC3,746.3280707,-1.944271715,0.184931955,-5.106049491,3.29E-07,1.40E-05
MYO18B,72.20541507,-1.94613473,0.226543287,-4.176397109,2.96E-05,0.000881878
ODF4,9.398213665,-1.946955472,0.270329186,-3.502971639,0.000460098,0.011053935
FAT3,188.7653433,-1.947935281,0.212476277,-4.461369961,8.14E-06,0.000270112
RBFOX3,110.1387828,-1.950438927,0.249442186,-3.810257359,0.000138822,0.003642571
LARGE-AS1,1.397687638,-1.950492888,0.232152541,-4.094260109,4.24E-05,0.001227433
TMEM51-AS1,439.5363092,-1.952744982,0.137620108,-6.923007091,4.42E-12,3.72E-10
GLP1R,17.69700297,-1.954421552,0.264842873,-3.603727522,0.000313686,0.007762832
NYAP2,17.52276969,-1.954668745,0.268899766,-3.55027733,0.000384826,0.009368011
PPP1R14D,173.0998979,-1.956277849,0.253661968,-3.769890513,0.000163319,0.004214216
ZNF486,2006.798105,-1.959389099,0.171899703,-5.581098072,2.39E-08,1.19E-06
