,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Category
RNU6-317P,0.044379315,-0.116900298,1.298139356,0,1,NA,Neutral
OR7D4,0.044045062,-0.116900299,1.298444661,0,1,NA,Neutral
CRYGGP,0.057338601,-0.11690046,1.765475661,0,1,NA,Neutral
RN7SL468P,0.057733343,-0.116900464,1.763910988,0,1,NA,Neutral
ADAM24P,0.047824376,-0.116900502,1.356243458,0,1,NA,Neutral
MIR543,0.046942337,-0.116900503,1.356550661,0,1,NA,Neutral
MIR4764,0.051982295,-0.116900737,1.492374181,0,1,NA,Neutral
RNU6-764P,0.050656591,-0.116900738,1.494335319,0,1,NA,Neutral
OR1L6,0.136546378,-0.117045449,1.347038336,0,1,NA,Neutral
MIR4316,0.126500815,-0.117050223,0.908920564,0,1,NA,Neutral
LINC00533,0.147307682,-0.117565931,0.839218765,0,1,NA,Neutral
PRR30,0.139490739,-0.117817594,0.641609746,0,1,NA,Neutral
FLYWCH1P1,0.067793718,-0.118022845,0.927559498,0,1,NA,Neutral
RNU4-91P,0.105213306,-0.118025454,1.129437313,0,1,NA,Neutral
MTND1P21,0.070376032,-0.118025882,1.187175718,0,1,NA,Neutral
SNORD116-16,0.153213816,-0.118165064,0.615910381,0,1,NA,Neutral
MIR4465,0.039659247,-0.118488575,2.999741221,0,1,NA,Neutral
MIR670,0.023517213,-0.118488575,2.999741221,0,1,NA,Neutral
IGLVIV-65,0.029291578,-0.118493241,2.48133859,0,1,NA,Neutral
RBM11P1,0.033908449,-0.118493442,2.456315006,0,1,NA,Neutral
MIR6715A,0.037977707,-0.118493597,2.436913673,0,1,NA,Neutral
OR10AG1,0.024752429,-0.118496021,2.106697561,0,1,NA,Neutral
OR7A10,0.028108638,-0.118496115,2.092643804,0,1,NA,Neutral
OR6M3P,0.033616293,-0.118496249,2.072532485,0,1,NA,Neutral
ACTRT2,0.036646555,-0.118496314,2.062592632,0,1,NA,Neutral
RNU6-953P,0.02800371,-0.118497074,1.942773502,0,1,NA,Neutral
RN7SKP284,0.029250868,-0.1184971,1.938578613,0,1,NA,Neutral
MTND3P13,0.02980399,-0.118497111,1.936780999,0,1,NA,Neutral
RNU6-321P,0.028682374,-0.118498432,1.701645769,0,1,NA,Neutral
MIR516A1,0.12711559,-0.118967483,1.401568377,0,1,NA,Neutral
RN7SL107P,0.102835506,-0.118968496,1.101399445,0,1,NA,Neutral
MIR1229,0.05096943,-0.119887082,1.061038016,0,1,NA,Neutral
SELENOTP2,0.054805014,-0.11988768,1.098537464,0,1,NA,Neutral
FAM223A,0.047180545,-0.11988775,1.103252672,0,1,NA,Neutral
IGHVIII-13-1,0.053476743,-0.119888817,1.187962581,0,1,NA,Neutral
OR6K1P,0.062713341,-0.119889254,1.232179336,0,1,NA,Neutral
SNX2P2,0.079880026,-0.119889622,2.150095652,0,1,NA,Neutral
RN7SL366P,0.057720444,-0.119890812,1.572162551,0,1,NA,Neutral
LINC02039,0.064688702,-0.11989086,1.655939033,0,1,NA,Neutral
RN7SKP117,0.125672221,-0.12000528,0.714708063,0,1,NA,Neutral
MED14P1,0.152958514,-0.120766366,0.634238024,0,1,NA,Neutral
MIR6882,0.069621055,-0.120902081,0.991586962,0,1,NA,Neutral
RNU6-157P,0.085385476,-0.120903522,1.183926117,0,1,NA,Neutral
RBMY2TP,0.096440983,-0.120903978,1.55447943,0,1,NA,Neutral
