,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Category
NECTIN3,516.9008464,0.967120924,0.145514674,0,1,1,Neutral
HMSD,20.21086009,0.966811227,0.212870272,0,1,1,Neutral
RFLNB,908.6261995,0.966334611,0.108448449,0,1,1,Neutral
LIPK,27.14224583,0.965934403,0.282540652,0,1,1,Neutral
COL6A2,33943.70998,0.964980139,0.158321979,0,1,1,Neutral
MAFB,1837.238603,0.96472564,0.125561019,0,1,1,Neutral
SLC39A12,1.386101173,0.964466061,0.260833732,0,1,1,Neutral
CASC8,84.06976607,0.964263378,0.172734151,0,1,1,Neutral
PMAIP1,853.1396185,0.963926199,0.122518693,0,1,1,Neutral
ICAM5,99.29048323,0.963898553,0.170312993,0,1,1,Neutral
TWIST2,153.3437821,0.963818585,0.198139703,0,1,1,Neutral
RNF175,48.68666754,0.963508424,0.134114479,0,1,1,Neutral
KRTAP3-2,0.685408504,0.963166899,0.398604548,0,1,1,Neutral
MYO5A,1461.352388,0.962724668,0.094680117,0,1,1,Neutral
NIFKP3,0.333584043,0.962660596,0.33283973,0,1,1,Neutral
SPANXA2-OT1,1.156040748,0.962642509,0.318717493,0,1,1,Neutral
PGA5,0.907854231,0.962593672,0.299605384,0,1,1,Neutral
SCARF2,611.5987449,0.962371388,0.139333596,0,1,1,Neutral
FEZF1,40.50053496,0.962365608,0.28487212,0,1,1,Neutral
CYSLTR2,52.5790803,0.962352331,0.153764682,0,1,1,Neutral
TRBV7-9,18.09476983,0.961902983,0.207538894,0,1,1,Neutral
FRG2C,1.614216413,0.961666547,0.307762125,0,1,1,Neutral
TUBB2BP1,0.803245609,0.961569112,0.240479397,0,1,1,Neutral
LCP2,824.8146942,0.961248813,0.128002159,0,1,1,Neutral
IMPA2,1837.592141,0.961081638,0.116274389,0,1,1,Neutral
LINC01555,0.881357231,0.961052476,0.306638152,0,1,1,Neutral
PROSER2,1128.07541,0.960994761,0.120963353,0,1,1,Neutral
SPINK7,21.08809225,0.960624698,0.291646967,0,1,1,Neutral
WNK4,113.3761715,0.960590225,0.183095112,0,1,1,Neutral
TNFRSF9,140.4262657,0.96039738,0.16505417,0,1,1,Neutral
SLC39A14,2080.143876,0.960334565,0.10565328,0,1,1,Neutral
RP1L1,34.49088347,0.959999928,0.19541346,0,1,1,Neutral
THEMIS2,1055.335453,0.959861521,0.126117087,0,1,1,Neutral
EFNB2,2865.14202,0.958790277,0.105756657,0,1,1,Neutral
HRNR,21.78683273,0.958665258,0.178286584,0,1,1,Neutral
GBP1P1,298.2303506,0.958309212,0.140634171,0,1,1,Neutral
IFITM9P,3.501570282,0.958261227,0.19359735,0,1,1,Neutral
CDCA7,1067.935795,0.957406771,0.11380438,0,1,1,Neutral
VSIG10L,575.7558733,0.956975225,0.172305191,0,1,1,Neutral
EWSAT1,7.660826172,0.956765695,0.171062619,0,1,1,Neutral
DPF1,68.74235602,0.956754568,0.150028699,0,1,1,Neutral
LINC00659,2.675936488,0.956199229,0.273425547,0,1,1,Neutral
ACTG1P14,15.53675672,0.95586412,0.123947198,0,1,1,Neutral
TUBBP6,1.424523478,0.955078162,0.208283047,0,1,1,Neutral
TBXA2R,129.8934948,0.954064818,0.116934016,0,1,1,Neutral
RPL39L,268.9963272,0.953833294,0.191348643,0,1,1,Neutral
PLAC8,491.6899153,0.953677552,0.191885268,0,1,1,Neutral
PF4,4.78221118,0.953614929,0.241874688,0,1,1,Neutral
KLRC3,1.52267568,0.953491454,0.253598555,0,1,1,Neutral
PPP1R18,4324.824988,0.953079855,0.088445383,0,1,1,Neutral
MPEG1,1035.694768,0.952525914,0.156817851,0,1,1,Neutral
FRMD8P1,0.43803934,0.952034387,0.259948925,0,1,1,Neutral
TSPY2,0.381859162,0.951954025,1.160536008,0,1,1,Neutral
KCNG2,9.048914303,0.951425993,0.154851058,0,1,1,Neutral
LINC01732,1.688219083,0.951366156,0.253949385,0,1,1,Neutral
PPM1J,114.5298418,0.951197734,0.121869639,0,1,1,Neutral
KRT2,6.681092855,0.951189136,0.224746473,0,1,1,Neutral
RBAKDN,2.423187585,0.950959337,0.211456565,0,1,1,Neutral
PCDHGC3,560.9578446,0.950340596,0.128321185,0,1,1,Neutral
LINC02104,3.150334631,0.949899623,0.193601742,0,1,1,Neutral
MIR8058,0.569141543,0.949607973,0.435323393,0,1,1,Neutral
RAB7B,566.24936,0.949527994,0.143916742,0,1,1,Neutral
CXCL2,472.9180545,0.949161423,0.208036391,0,1,1,Neutral
RNU6-167P,0.430443671,0.948996904,0.426887803,0,1,1,Neutral
CDH2,298.3289388,0.948854797,0.21178557,0,1,1,Neutral
ATP8B3,112.8552631,0.948640165,0.126449192,0,1,1,Neutral
S100G,0.872791032,0.94815572,0.477551832,0,1,1,Neutral
MILR1,172.9970102,0.947031151,0.14252175,0,1,1,Neutral
SOD2,16548.63636,0.946595485,0.116368726,0,1,1,Neutral
HMGA1,17412.75097,0.946503476,0.090795122,0,1,1,Neutral
SUSD3,181.2404855,0.94509776,0.149487616,0,1,1,Neutral
HIPK2,1801.306943,0.94485737,0.102563332,0,1,1,Neutral
PILRA,239.961517,0.944472844,0.13947979,0,1,1,Neutral
COL1A1,187055.2138,0.94433778,0.171169443,0,1,1,Neutral
HTR7,206.913269,0.944197258,0.208351531,0,1,1,Neutral
LYPD5,503.343617,0.943896514,0.13376881,0,1,1,Neutral
VENTX,42.99802236,0.94386387,0.159278541,0,1,1,Neutral
MT1B,0.446662057,0.943348977,0.389152666,0,1,1,Neutral
NDRG1,34633.67363,0.943096311,0.1340399,0,1,1,Neutral
CCR5,278.8021867,0.942658203,0.161956648,0,1,1,Neutral
IFNWP19,55.86062286,0.942422759,0.220991219,0,1,1,Neutral
OLR1,1238.667338,0.942403394,0.215921124,0,1,1,Neutral
ERVV-2,22.24924817,0.942094378,0.307696797,0,1,1,Neutral
NT5C1A,0.566900589,0.941899624,0.296901372,0,1,1,Neutral
ATP10D,1141.106522,0.941168639,0.093682184,0,1,1,Neutral
LTB4R2,121.7952273,0.940955109,0.11865292,0,1,1,Neutral
AIM2,1038.724616,0.940942259,0.214825061,0,1,1,Neutral
CALCA,4.292723848,0.940673576,0.29844403,0,1,1,Neutral
NOX5,78.6779241,0.940496459,0.163904384,0,1,1,Neutral
CD8A,522.7909101,0.940232872,0.17777986,0,1,1,Neutral
ANO4,33.64376153,0.939690494,0.196984648,0,1,1,Neutral
PGF,1216.499763,0.939623942,0.136425281,0,1,1,Neutral
MIR5689HG,1.857582135,0.939485459,0.231567708,0,1,1,Neutral
FRMD5,136.6802869,0.939430646,0.148557609,0,1,1,Neutral
MPP1,692.351214,0.939379293,0.126445003,0,1,1,Neutral
LINC02111,0.549375306,0.93794529,0.318242372,0,1,1,Neutral
TXN,12054.61109,0.937446883,0.081914477,0,1,1,Neutral
DUSP14,970.8390374,0.937202022,0.071720643,0,1,1,Neutral
LINC01647,0.875329427,0.936228105,0.325164249,0,1,1,Neutral
HOXC8,55.1650366,0.935931153,0.214844783,0,1,1,Neutral
AFAP1L2,1511.442373,0.935563021,0.118685139,0,1,1,Neutral
PHF19,1652.270152,0.935360606,0.092692117,0,1,1,Neutral
ISG20,1004.643311,0.93502053,0.138760488,0,1,1,Neutral
TPRG1-AS2,0.586134627,0.934468998,0.292522923,0,1,1,Neutral
LINC02159,23.48995669,0.93436937,0.252336666,0,1,1,Neutral
TFDP3,0.248519243,0.934357092,0.499134313,0,1,1,Neutral
PIK3CD,858.5295927,0.933512121,0.123320294,0,1,1,Neutral
C1orf162,464.7355056,0.932975129,0.129437739,0,1,1,Neutral
PSG2,0.97930512,0.932878323,0.380716104,0,1,1,Neutral
HSD17B3-AS1,1.520303339,0.932519553,0.263838381,0,1,1,Neutral
PRKCQ,171.1203463,0.932503014,0.175826099,0,1,1,Neutral
PALD1,494.7626205,0.931776788,0.106228497,0,1,1,Neutral
SCD5,748.0188329,0.931700834,0.143463751,0,1,1,Neutral
CA9,1534.467063,0.931685209,0.230472544,0,1,1,Neutral
CLCA3P,21.76307226,0.931284193,0.227481317,0,1,1,Neutral
NXPE3,723.4904847,0.931189944,0.098250959,0,1,1,Neutral
L3MBTL4-AS1,7.311628646,0.930956333,0.150867451,0,1,1,Neutral
DOCK10,460.0418445,0.930885254,0.144813254,0,1,1,Neutral
ARHGAP29,1742.964238,0.930384841,0.135052511,0,1,1,Neutral
C4BPAP1,0.476823946,0.930356799,0.52711556,0,1,1,Neutral
IL18RAP,51.75983133,0.930254067,0.153907448,0,1,1,Neutral
MAF,2070.614878,0.930235103,0.131440615,0,1,1,Neutral
MET,4518.657752,0.930211123,0.107460058,0,1,1,Neutral
FNDC1,977.1471556,0.930181723,0.228395504,0,1,1,Neutral
CTAGE11P,1.830926961,0.929824699,0.156593212,0,1,1,Neutral
IMPDH1,3768.370901,0.929708197,0.082968096,0,1,1,Neutral
LINC01305,10.61725906,0.929564542,0.285976865,0,1,1,Neutral
AFF2,56.68475463,0.929243414,0.225216205,0,1,1,Neutral
LINC01270,28.83825001,0.9291812,0.123699027,0,1,1,Neutral
USP17L1,0.203994564,0.927967243,0.719665164,0,1,1,Neutral
COL12A1,10456.91569,0.927894834,0.144097886,0,1,1,Neutral
PNP,2923.362225,0.927512223,0.070959522,0,1,1,Neutral
TGFA,2025.522522,0.927453736,0.125329696,0,1,1,Neutral
LINC01093,0.862500325,0.927442302,0.356343567,0,1,1,Neutral
RBP7,188.910479,0.927428066,0.149629218,0,1,1,Neutral
LINC01482,3.831030681,0.927378796,0.177224453,0,1,1,Neutral
TNFAIP8L2,167.8281071,0.92719838,0.14384212,0,1,1,Neutral
LINC01132,24.21971368,0.927187946,0.130847456,0,1,1,Neutral
CAPNS1P1,0.477620355,0.927046169,0.319896512,0,1,1,Neutral
FAS,706.8456484,0.92692356,0.115362934,0,1,1,Neutral
DLGAP5,1230.731174,0.926816136,0.101753967,0,1,1,Neutral
SELPLG,854.2056077,0.926730643,0.147791312,0,1,1,Neutral
COL23A1,82.27680986,0.92655104,0.146573089,0,1,1,Neutral
TRPM8,14.04310624,0.92629863,0.21872987,0,1,1,Neutral
CAMK1G,22.02794461,0.926191644,0.131498525,0,1,1,Neutral
GDF5,8.517050929,0.925584632,0.218304839,0,1,1,Neutral
KHDC1,87.39660539,0.925401326,0.143798773,0,1,1,Neutral
OTX2,1.443627602,0.925236009,0.520853053,0,1,1,Neutral
CENPW,938.2815455,0.925184483,0.099954521,0,1,1,Neutral
BMPER,64.23818434,0.925135369,0.171424028,0,1,1,Neutral
PIK3AP1,578.5743659,0.924988826,0.156280567,0,1,1,Neutral
KCNQ5,67.80420324,0.924962564,0.260122482,0,1,1,Neutral
PEAK3,20.87220576,0.924776778,0.130430903,0,1,1,Neutral
HAPLN3,1127.573149,0.924373833,0.145679374,0,1,1,Neutral
BICD2,3060.818262,0.923580016,0.069439908,0,1,1,Neutral
CAVIN1,13644.79519,0.923504457,0.138327988,0,1,1,Neutral
LINC01994,0.300044274,0.92305787,0.559792601,0,1,1,Neutral
RAB3IL1,462.3420864,0.92297273,0.134598505,0,1,1,Neutral
HIVEP3,534.3222146,0.922953043,0.108381593,0,1,1,Neutral
CDKN3,660.5479588,0.922762031,0.097853978,0,1,1,Neutral
SGTB,296.4674639,0.922425961,0.088743036,0,1,1,Neutral
LINC02328,22.55330542,0.922150997,0.162628564,0,1,1,Neutral
MNDA,282.0038177,0.9215112,0.162929602,0,1,1,Neutral
ITPR3,4558.158283,0.920924808,0.091483231,0,1,1,Neutral
CYP27B1,246.546619,0.920510706,0.117623681,0,1,1,Neutral
IL10,45.17462206,0.920493087,0.159489087,0,1,1,Neutral
PTP4A1,5919.561658,0.919874508,0.084687364,0,1,1,Neutral
OLFML3,1483.250457,0.918565064,0.172052293,0,1,1,Neutral
RRAS2,1048.169576,0.918480567,0.0758574,0,1,1,Neutral
ZNF474,14.33736412,0.918251086,0.129060649,0,1,1,Neutral
KCNK13,107.4700266,0.918179119,0.18645514,0,1,1,Neutral
CERCAM,4489.359892,0.91789163,0.115706907,0,1,1,Neutral
NSMF,2034.50929,0.917611543,0.087144713,0,1,1,Neutral
NPC1,2207.31355,0.917362612,0.067907127,0,1,1,Neutral
FBXO2,609.6297311,0.916732923,0.170285336,0,1,1,Neutral
SDS,336.150539,0.91665837,0.143103428,0,1,1,Neutral
FXYD5,7964.435759,0.916316079,0.118607935,0,1,1,Neutral
HPCAL4,21.28968508,0.91579687,0.21200505,0,1,1,Neutral
ALOX15B,255.2182378,0.914393251,0.203939549,0,1,1,Neutral
HEG1,2565.774215,0.914351717,0.111038281,0,1,1,Neutral
PXDN,3798.493458,0.913548245,0.13985843,0,1,1,Neutral
TRIM7,585.6077048,0.91286036,0.159938854,0,1,1,Neutral
LINC01807,20.49443527,0.912720877,0.359628045,0,1,1,Neutral
CDCA7L,525.2626373,0.912317756,0.165052756,0,1,1,Neutral
UBE2QL1,60.06753324,0.911780549,0.172137582,0,1,1,Neutral
LINC00173,14.44818185,0.9117532,0.208763292,0,1,1,Neutral
LST1,375.1557357,0.911558659,0.142808205,0,1,1,Neutral
CCIN,10.26570208,0.911342102,0.191885827,0,1,1,Neutral
LCN2,8392.492753,0.9111632,0.245829958,0,1,1,Neutral
MFAP2,2441.113544,0.910776106,0.140405053,0,1,1,Neutral
LINC02182,1.653605534,0.910674527,0.238939617,0,1,1,Neutral
MCHR1,22.11634374,0.91035272,0.182725909,0,1,1,Neutral
SOAT2,4.57013137,0.909122156,0.182156237,0,1,1,Neutral
NPR3,140.9174235,0.908839382,0.166716697,0,1,1,Neutral
IFITM2,3111.630398,0.908820938,0.121900386,0,1,1,Neutral
OR10AC1,0.751070997,0.90769307,0.298976664,0,1,1,Neutral
GABRB1,0.962069296,0.905789985,0.345007856,0,1,1,Neutral
TGM2,16741.60637,0.905771511,0.173224607,0,1,1,Neutral
KCNIP3,155.828933,0.905766501,0.150901299,0,1,1,Neutral
MMP11,8332.480952,0.905748546,0.206262331,0,1,1,Neutral
HSD3B1,128.5063741,0.905621556,0.381095003,0,1,1,Neutral
PTPN22,161.005081,0.905353538,0.154420536,0,1,1,Neutral
SAMSN1,376.7993248,0.905008328,0.154233281,0,1,1,Neutral
SHANK1,18.78808036,0.904953619,0.159890969,0,1,1,Neutral
OPN3,330.5031629,0.904399027,0.110197128,0,1,1,Neutral
HMGB3P32,1.579226434,0.904357081,0.220047572,0,1,1,Neutral
P2RY13,97.69435625,0.90412172,0.166362966,0,1,1,Neutral
LINC00305,0.312791487,0.903819868,0.536022052,0,1,1,Neutral
VEPH1,119.0768281,0.902486316,0.189424822,0,1,1,Neutral
LINC01886,0.728713261,0.902459915,0.43145712,0,1,1,Neutral
PLEK2,1613.278102,0.902414402,0.129858021,0,1,1,Neutral
STX11,187.6635345,0.901481097,0.125167554,0,1,1,Neutral
ACOT9,1512.190377,0.90136083,0.076314048,0,1,1,Neutral
LINC00313,4.07898311,0.901091977,0.164254634,0,1,1,Neutral
LINC01152,14.57219784,0.900944154,0.271508558,0,1,1,Neutral
MMP14,26497.04828,0.90018684,0.090883199,0,1,1,Neutral
AGTRAP,3015.219569,0.899722648,0.07314375,0,1,1,Neutral
BDKRB1,155.9165189,0.899309058,0.171952561,0,1,1,Neutral
SGK1,5206.472663,0.897946925,0.141494454,0,1,1,Neutral
KITLG,1196.147841,0.897927213,0.145573334,0,1,1,Neutral
NUAK1,981.4334342,0.896777489,0.117617371,0,1,1,Neutral
TBX21,51.75153924,0.896758068,0.170424961,0,1,1,Neutral
IGSF6,360.6592425,0.896582292,0.128900643,0,1,1,Neutral
MAP4K4,6372.836567,0.896090173,0.072444935,0,1,1,Neutral
CNTN5,28.21758429,0.895523331,0.280246193,0,1,1,Neutral
RETN,11.12135013,0.894710979,0.197098679,0,1,1,Neutral
HCST,208.9219434,0.894511368,0.158010704,0,1,1,Neutral
LIPN,4.266066211,0.89355438,0.254292475,0,1,1,Neutral
MELK,1413.171081,0.892929933,0.110061139,0,1,1,Neutral
SLC6A7,6.988951734,0.892715614,0.161287626,0,1,1,Neutral
EPSTI1,1764.131126,0.892011752,0.145086616,0,1,1,Neutral
GGT1,306.1892972,0.891321284,0.138840819,0,1,1,Neutral
RUNX2,917.3064296,0.890445939,0.123862756,0,1,1,Neutral
LINC02232,0.379863784,0.890249771,0.49196878,0,1,1,Neutral
F2RL1,1449.791409,0.890060838,0.134111872,0,1,1,Neutral
GDNF,39.4735154,0.889976163,0.185892563,0,1,1,Neutral
LEF1-AS1,13.73909252,0.88943685,0.148385116,0,1,1,Neutral
TRIB3,1685.523236,0.889317031,0.113858847,0,1,1,Neutral
MT1H,53.98428735,0.88924554,0.229130568,0,1,1,Neutral
FMO1,110.3843171,0.888662874,0.174509951,0,1,1,Neutral
ELOBP2,3.415846463,0.888537803,0.2044261,0,1,1,Neutral
CSPG4,2559.668406,0.887229878,0.153669569,0,1,1,Neutral
PLS3,5310.617009,0.887227497,0.082517663,0,1,1,Neutral
CALHM6,406.846732,0.887113904,0.163246107,0,1,1,Neutral
LIN28B,47.52376729,0.887112809,0.353743973,0,1,1,Neutral
FLG-AS1,45.32808462,0.887090546,0.176901647,0,1,1,Neutral
UBD,458.0764198,0.886897118,0.241002249,0,1,1,Neutral
IFIT1,1709.262939,0.885948897,0.176906819,0,1,1,Neutral
SGMS2,972.6677409,0.884525916,0.110199123,0,1,1,Neutral
STAT1,14292.11425,0.883688758,0.115703143,0,1,1,Neutral
TDRD1,4.189152038,0.883567751,0.250652704,0,1,1,Neutral
LINC02241,19.60612402,0.883457436,0.450103484,0,1,1,Neutral
HERC5,669.4181535,0.883316719,0.142427634,0,1,1,Neutral
RGMA,318.4180368,0.883234455,0.192908532,0,1,1,Neutral
EYA4,98.2085262,0.882753366,0.185886722,0,1,1,Neutral
TRIP13,1493.783692,0.882296959,0.107229422,0,1,1,Neutral
MPP6,464.256409,0.881386385,0.123615835,0,1,1,Neutral
CHIT1,235.490918,0.880702982,0.230417787,0,1,1,Neutral
TMEM52B,208.3892203,0.880437764,0.222511809,0,1,1,Neutral
ADAMTS4,1678.486395,0.880230965,0.151835182,0,1,1,Neutral
MYO1G,522.454101,0.879638955,0.151751973,0,1,1,Neutral
LINC01426,68.8180536,0.879528335,0.178158419,0,1,1,Neutral
CFAP97D1,1.264143028,0.879314819,0.196341323,0,1,1,Neutral
ASIC2,3.307640909,0.87868061,0.203851888,0,1,1,Neutral
LINC01133,292.0926634,0.878033231,0.244988843,0,1,1,Neutral
CYP7B1,107.2398059,0.878028044,0.140002873,0,1,1,Neutral
TGFB1,4766.71686,0.877583921,0.097199131,0,1,1,Neutral
KIF18A,425.1466778,0.877398123,0.09902695,0,1,1,Neutral
C1QTNF1,1628.718469,0.877337521,0.147214637,0,1,1,Neutral
MT1G,246.0889871,0.876810913,0.198489925,0,1,1,Neutral
KCTD1,1221.158495,0.876136135,0.109367837,0,1,1,Neutral
CCDC88A,1235.419948,0.875848414,0.108511949,0,1,1,Neutral
IFITM4P,5.760834894,0.875810444,0.195788485,0,1,1,Neutral
PLA2G7,397.6440639,0.87535885,0.138232174,0,1,1,Neutral
IFI27,16608.08349,0.875201423,0.177390055,0,1,1,Neutral
RCN3,2322.818364,0.874802709,0.14740109,0,1,1,Neutral
PTPRJ,905.5982153,0.874792971,0.10487571,0,1,1,Neutral
RASL10B,124.1675939,0.874650036,0.163828966,0,1,1,Neutral
SPIN4,610.5555247,0.874179411,0.114066716,0,1,1,Neutral
RNU6-1178P,0.202687656,0.873582666,0.688127605,0,1,1,Neutral
HIF1A,9165.211098,0.873448198,0.085700808,0,1,1,Neutral
TNFSF11,60.26564575,0.87272048,0.175832009,0,1,1,Neutral
CELA1,1.061638609,0.872711458,0.269289825,0,1,1,Neutral
DKK3,2397.015685,0.872477096,0.118096347,0,1,1,Neutral
CORO1C,5873.270819,0.872457326,0.083295989,0,1,1,Neutral
AWAT2,1.590103003,0.872245352,0.301014031,0,1,1,Neutral
ADAM12,1516.17982,0.871957811,0.160916501,0,1,1,Neutral
SHTN1,1002.97039,0.871568847,0.103901059,0,1,1,Neutral
NCOA7,2627.326394,0.871323868,0.101179229,0,1,1,Neutral
PCSK5,417.0267465,0.871094243,0.154100827,0,1,1,Neutral
SORCS2,341.3079072,0.870822468,0.197860583,0,1,1,Neutral
CDC20,3921.444873,0.870540408,0.107334291,0,1,1,Neutral
MYO1F,843.6247465,0.870311178,0.123837982,0,1,1,Neutral
FGF20,3.379240719,0.870102701,0.335205893,0,1,1,Neutral
TNFRSF8,70.57189151,0.869823888,0.160571448,0,1,1,Neutral
ELL2,2579.062877,0.869226775,0.093531531,0,1,1,Neutral
STAT4,152.6128622,0.869050751,0.130549533,0,1,1,Neutral
PRSS23,6145.993868,0.869030309,0.119704511,0,1,1,Neutral
PAGE1,3.385303026,0.868684883,0.508764634,0,1,1,Neutral
THSD4,1118.543254,0.868063243,0.124317682,0,1,1,Neutral
NRP2,2216.140689,0.867985039,0.146454875,0,1,1,Neutral
TRAV1-1,1.732117484,0.867881112,0.294515924,0,1,1,Neutral
OSR2,544.8766951,0.867868887,0.150279934,0,1,1,Neutral
ROR2,686.0790533,0.867694511,0.179598627,0,1,1,Neutral
TEX13B,0.471890119,0.867605621,0.354883836,0,1,1,Neutral
KRT79,122.4061366,0.867492022,0.280272242,0,1,1,Neutral
RHO,0.599373293,0.867113865,0.279547671,0,1,1,Neutral
TWIST1,398.5970625,0.867057818,0.170456773,0,1,1,Neutral
LHX2,43.41520608,0.867004447,0.254557081,0,1,1,Neutral
NEK6,1205.855325,0.866315386,0.112001455,0,1,1,Neutral
PLCZ1,1.198238419,0.866152368,0.391121646,0,1,1,Neutral
ITGB5,7291.713611,0.865696375,0.08822351,0,1,1,Neutral
SAMD9L,1512.994769,0.865513147,0.144612426,0,1,1,Neutral
UBE2L6,5414.018032,0.86524739,0.107225475,0,1,1,Neutral
SLC31A2,94.46391121,0.864962747,0.110624617,0,1,1,Neutral
HRH1,940.4982195,0.86492837,0.095394123,0,1,1,Neutral
TEX36,0.193350754,0.864583774,0.587258022,0,1,1,Neutral
TSPAN5,1115.663499,0.864392534,0.109116913,0,1,1,Neutral
NCR1,10.7575315,0.864101082,0.173954644,0,1,1,Neutral
MARCO,299.1250667,0.863408435,0.23297674,0,1,1,Neutral
LINC01684,6.423093819,0.86303339,0.195969133,0,1,1,Neutral
DYRK3,222.6216899,0.86257258,0.095823703,0,1,1,Neutral
SLURP1,31.15469225,0.862022421,0.24870934,0,1,1,Neutral
UBE2U,1.145242567,0.861784141,0.450157618,0,1,1,Neutral
SIRPB2,141.2873637,0.861574738,0.146606976,0,1,1,Neutral
XG,292.7125793,0.860523621,0.175714502,0,1,1,Neutral
C1orf94,0.727651838,0.860128665,0.341133743,0,1,1,Neutral
AJUBA,1837.670142,0.860091585,0.108375559,0,1,1,Neutral
SLCO1B1,8.007331613,0.860076974,0.304430284,0,1,1,Neutral
MSANTD3,1075.874575,0.85920705,0.058570518,0,1,1,Neutral
BEND6,175.8655919,0.858549119,0.12913725,0,1,1,Neutral
GOLGA8F,0.436785271,0.858364285,0.359429247,0,1,1,Neutral
HAS1,81.34887375,0.858018932,0.234896132,0,1,1,Neutral
C1R,14541.7918,0.856736218,0.138918755,0,1,1,Neutral
TRBV15,3.069407776,0.856675291,0.276778158,0,1,1,Neutral
CST7,292.1016581,0.856526913,0.159854108,0,1,1,Neutral
ATP1B3,8084.315332,0.85640797,0.074874579,0,1,1,Neutral
FGF8,5.369801653,0.856133852,0.217197252,0,1,1,Neutral
LCE1F,2.669068163,0.856071545,0.409073679,0,1,1,Neutral
KLF13,2501.649669,0.855887961,0.098370446,0,1,1,Neutral
MIR4500HG,3.604967889,0.855673943,0.343582168,0,1,1,Neutral
SLC16A12,22.54641335,0.854920625,0.202614664,0,1,1,Neutral
TBATA,1.229752488,0.854726728,0.284118858,0,1,1,Neutral
PFKP,8240.620163,0.854429373,0.087744707,0,1,1,Neutral
ADGRE3,9.771628967,0.853898824,0.178077354,0,1,1,Neutral
KRT39,5.151029964,0.853772715,0.266514573,0,1,1,Neutral
ABI3,468.5025068,0.853051371,0.114806477,0,1,1,Neutral
TMEM92,290.226761,0.852679518,0.153446126,0,1,1,Neutral
TGFBR1,2620.464936,0.852295653,0.08865179,0,1,1,Neutral
CTLA4,151.0776198,0.851511237,0.171187218,0,1,1,Neutral
MCOLN2,126.8202589,0.851093469,0.152871389,0,1,1,Neutral
DLX4,79.35858282,0.850940586,0.161170319,0,1,1,Neutral
ABCC6,66.33437079,0.850882202,0.134960226,0,1,1,Neutral
CLSPN,439.7716258,0.850856848,0.118438733,0,1,1,Neutral
MIR31HG,74.48486576,0.850380212,0.220113357,0,1,1,Neutral
COBL,214.6885226,0.850370081,0.229813214,0,1,1,Neutral
SLA2,128.363352,0.850087054,0.158870058,0,1,1,Neutral
MIAT,307.2990928,0.849988726,0.167863878,0,1,1,Neutral
AQP5,30.01294301,0.849967849,0.270150646,0,1,1,Neutral
CTXN3,0.631360026,0.849698381,0.467593419,0,1,1,Neutral
TNFRSF11B,273.20759,0.849376568,0.194147651,0,1,1,Neutral
TNFRSF10A,635.3739528,0.84871609,0.086846358,0,1,1,Neutral
GREM1,2861.064666,0.848716,0.217758387,0,1,1,Neutral
THEMIS,50.2591508,0.848672402,0.189931898,0,1,1,Neutral
GSDME,933.3381465,0.848163388,0.14283903,0,1,1,Neutral
RNU1-70P,1.543740164,0.848093791,0.339610851,0,1,1,Neutral
PCDHGB2,73.85398664,0.846926173,0.152141295,0,1,1,Neutral
GPR25,9.391023155,0.846894318,0.218336815,0,1,1,Neutral
BMS1P9,0.366968446,0.846635747,0.419311903,0,1,1,Neutral
SUSD2,864.4381532,0.846327617,0.160733831,0,1,1,Neutral
HCP5,1980.400873,0.846225048,0.142023891,0,1,1,Neutral
KCNJ2,199.2116394,0.846081355,0.127259829,0,1,1,Neutral
RDH16,147.4022822,0.84586357,0.169239397,0,1,1,Neutral
KRT18P22,1.144021729,0.845560395,0.192560587,0,1,1,Neutral
CHGB,39.52934706,0.845455869,0.22414013,0,1,1,Neutral
PMCH,2.856118979,0.845388545,0.159975371,0,1,1,Neutral
MIR5690,0.321273834,0.845251259,0.411759394,0,1,1,Neutral
LINC00242,21.7259556,0.844194657,0.134200814,0,1,1,Neutral
HLA-B,101676.7584,0.843092199,0.126303045,0,1,1,Neutral
TMEM207,0.772631671,0.842897569,0.710029488,0,1,1,Neutral
C15orf54,2.793069616,0.842799043,0.169059532,0,1,1,Neutral
MCTP1,464.300677,0.842428403,0.128877791,0,1,1,Neutral
OGFRL1,1036.448008,0.841741391,0.130576155,0,1,1,Neutral
SUSD5,103.9958155,0.841282407,0.173406302,0,1,1,Neutral
LDLR,3764.454637,0.841111962,0.127235572,0,1,1,Neutral
RASGRP1,253.5983696,0.840483293,0.152735545,0,1,1,Neutral
COL1A2,110244.4932,0.840332045,0.166074933,0,1,1,Neutral
LINC01843,12.12666783,0.839879875,0.236628741,0,1,1,Neutral
TFAP2E,86.06209788,0.839579616,0.127901984,0,1,1,Neutral
CRTAM,49.27501187,0.838591767,0.174831465,0,1,1,Neutral
HLA-F,4968.67316,0.838503464,0.145892711,0,1,1,Neutral
BTBD10P1,0.845789318,0.837980615,0.252832531,0,1,1,Neutral
GRP,28.69370807,0.837297634,0.300953587,0,1,1,Neutral
RIN2,3058.944818,0.83726568,0.077359249,0,1,1,Neutral
PTENP1-AS,2.47154765,0.836367875,0.281196857,0,1,1,Neutral
TGM7,0.853983266,0.834967086,0.331460405,0,1,1,Neutral
CEBPB,4399.858225,0.834436711,0.090889895,0,1,1,Neutral
SPATA19,0.812650717,0.834388558,0.396066599,0,1,1,Neutral
UBE2E2,761.3349669,0.834276423,0.136936954,0,1,1,Neutral
