"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABO",1189.40712467685,-0.674082867097922,0.184811116794582,0,1,1
"ABR",4140.97417703226,-0.046899293794115,0.0724790200041101,0,1,1
"ABRA",4.81158786222011,-1.09530440544365,0.186553193845862,0,1,1
"ABRACL",2551.48504602441,-0.316520281633994,0.0749052324342177,0,1,1
"ABRAXAS1",225.111782523894,-0.131533685082371,0.068146337856828,0,1,1
"ABRAXAS2",893.795390587789,0.105035135440288,0.0383824920011571,0,1,1
"ABT1",2136.31075264666,-0.0278803399936481,0.0493224649359154,0,1,1
"ABTB1",1710.2332471813,-0.12624349707306,0.079760304484066,0,1,1
"ABTB2",532.055545365687,0.513204349927997,0.104048396320654,0,1,1
"ACAA1",3771.39964782082,-0.785107679571099,0.0734380026081953,0,1,1
"ACAA2",2163.12521422119,0.0898296829550293,0.121971451906082,0,1,1
"ACACA",4133.567988479,-0.00346571208447869,0.0622956429946581,0,1,1
"ACACB",715.530336560976,-0.849632519382512,0.132238402105222,0,1,1
"ACAD10",1506.75913343495,-0.403842900973996,0.0550163996919356,0,1,1
"ACAD11",25.4424780854051,-0.494249266315566,0.102203381264816,0,1,1
"ACAD8",1068.61379031829,-0.451757501873191,0.0509154008547317,0,1,1
"ACAD9",2854.68149124777,-0.0314417426376342,0.0456661799501923,0,1,1
"ACADL",64.880786644337,-1.439916906274,0.212105675866758,0,1,1
"ACADM",1998.13203529474,-0.330391159332527,0.0813680396203583,0,1,1
"ACADS",1300.9384570845,-0.388598350105577,0.0664476611005298,0,1,1
"ACADSB",1133.35149995309,-1.17430913113341,0.100866339912131,0,1,1
"ACADVL",16555.4286381708,-0.328720468020986,0.0720801989626267,0,1,1
"ACAN",259.947512459505,0.833615021470446,0.16034815170898,0,1,1
"ACAP1",642.569560167947,0.0908914207988785,0.132336099745187,0,1,1
"ACAP2",2599.02123944059,-0.0135907181307844,0.0625588464040017,0,1,1
"ACAP3",3404.51297699139,-0.445810989756032,0.0798712940823608,0,1,1
"ACAT1",1493.74210626686,0.61402604566847,0.0873378763751806,0,1,1
"ACAT2",1544.49115729798,0.1771248516807,0.0773003156126095,0,1,1
